Source,IslandID,TaxonOrig,GenusL69,SpeciesL69,SubspL69,SpeciesID,SubspID,Sex,Plumage,BodyL,WingL,TailL,BeakW,BeakH,LBeakL,UBeakL,N-UBkL,TarsusL,MToeL
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,70,,,6.5,,,10,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,,,,,,,10,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,F,,,66,,,6.1,,,10.5,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,6,,,10.9,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,6.2,,,11,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,69,,,6.2,,,,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,67,,,6,,,10.1,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,5.9,,,10.4,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,6,,,10.9,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,69,,,6.4,,,9,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,5.8,,,10.8,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,69,,,5.8,,,9.7,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,69,,,5.9,,,10.3,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,67,,,6.1,,,10.4,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,70,,,5.9,,,10.7,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,67,,,5.7,,,10.9,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,69,,,5.8,,,10.2,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,67,,,6,,,10.9,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,70,,,5.9,,,10.9,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,5.7,,,10.4,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,69,,,5.9,,,10.8,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,,,,10.6,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,67,,,5.8,,,10.1,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,6.1,,,10.4,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,70,,,6.4,,,10.6,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,67,,,6.3,,,10.1,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,6.2,,,10.2,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,6.3,,,10.1,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,67,,,6,,,10.6,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,5.8,,,10.2,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,69,,,6.4,,,10.3,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,69,,,6.8,,,10.5,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,67,,,6.1,,,10.3,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,6.4,,,10.1,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,66,,,6.3,,,10.5,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,5.8,,,11,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,67,,,6,,,11,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,67,,,6.4,,,10.2,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,67,,,5.6,,,10.3,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,69,,,5.9,,,11,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,66,,,5.9,,,10.1,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,69,,,6.6,,,10.7,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,6.1,,,10.2,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,69,,,6.1,,,10.3,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,6.2,,,9.9,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,,,,10.6,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,6.5,,,10.8,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,6,,,10.2,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,70,,,5.7,,,10.3,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,69,,,6.1,,,10.3,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,67,,,6.3,,,10.3,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,67,,,6.7,,,10.3,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,6.5,,,11,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,65,,,6.2,,,10.3,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,65,,,6.9,,,10.9,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,67,,,6,,,10.4,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,64,,,6.2,,,11,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,,,,10.2,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,67,,,6.4,,,11,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,70,,,,,,10.3,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,69,,,,,,10.9,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,69,,,,,,10.5,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,6.6,,,10.7,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,69,,,6.3,,,10.4,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,71,,,,,,10.2,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,,,,6.5,,,10.5,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,,,,,,,10.5,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,,,,5.8,,,10.5,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,,,,6,,,10.6,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,,,,,,,10.8,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,6.2,,,10.2,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,67,,,,,,10,,
Lack CAS,Cocos,Pinaroloxias inornata,Pinaroloxias,inornata,,Pin.ino,Pin.ino,M,Black,,68,,,6.6,,,10.4,,
