tank,date,climate,drying,treatment,species,svl,mass,time,cumulative,prop.meta,devel.rate,final.stage,algaemass
1,6/27/2012,warming,temp,warming + fast,spadefoot,16.0,0.67,49,1,0.033333333,0.387755102,46,1.768
1,6/29/2012,warming,temp,warming + fast,spadefoot,16.0,0.597,51,2,0.066666667,0.37254902,46,1.768
1,7/1/2012,warming,temp,warming + fast,spadefoot,17.0,0.523,53,5,0.166666667,0.358490566,46,1.768
1,7/1/2012,warming,temp,warming + fast,spadefoot,16.0,0.492,53,5,0.166666667,0.358490566,46,1.768
1,7/1/2012,warming,temp,warming + fast,spadefoot,18.0,0.609,53,5,0.166666667,0.358490566,46,1.768
1,7/2/2012,warming,temp,warming + fast,spadefoot,16.0,0.476,54,7,0.233333333,0.351851852,46,1.768
1,7/2/2012,warming,temp,warming + fast,spadefoot,17.5,0.536,54,7,0.233333333,0.351851852,46,1.768
1,7/4/2012,warming,temp,warming + fast,spadefoot,16.5,0.368,56,10,0.333333333,0.339285714,46,1.768
1,7/4/2012,warming,temp,warming + fast,spadefoot,18.5,0.642,56,10,0.333333333,0.339285714,45,1.768
1,7/4/2012,warming,temp,warming + fast,spadefoot,19.0,0.698,56,10,0.333333333,0.339285714,45,1.768
1,7/6/2012,warming,temp,warming + fast,spadefoot,17.0,0.658,58,11,0.366666667,0.327586207,45,1.768
1,7/8/2012,warming,temp,warming + fast,spadefoot,18.0,0.59,60,15,0.5,0.316666667,46,1.768
1,7/8/2012,warming,temp,warming + fast,spadefoot,19.5,0.691,60,15,0.5,0.316666667,46,1.768
1,7/8/2012,warming,temp,warming + fast,spadefoot,17.0,0.597,60,15,0.5,0.316666667,45,1.768
1,7/8/2012,warming,temp,warming + fast,spadefoot,18.5,0.776,60,15,0.5,0.316666667,45,1.768
1,7/13/2012,warming,temp,warming + fast,spadefoot,20.0,0.822,65,17,0.566666667,0.292307692,46,1.768
1,7/13/2012,warming,temp,warming + fast,spadefoot,20.0,0.8,65,17,0.566666667,0.292307692,46,1.768
1,7/16/2012,warming,temp,warming + fast,spadefoot,17.5,0.585,68,18,0.6,0.279411765,46,1.768
2,6/27/2012,warming,perm,warming + slow,spadefoot,17.0,0.685,49,2,0.066666667,0.387755102,45,3.081
2,6/27/2012,warming,perm,warming + slow,spadefoot,17.0,0.577,49,2,0.066666667,0.387755102,46,3.081
2,6/29/2012,warming,perm,warming + slow,spadefoot,17.0,0.615,51,4,0.133333333,0.37254902,46,3.081
2,6/29/2012,warming,perm,warming + slow,spadefoot,18.0,0.588,51,4,0.133333333,0.37254902,45,3.081
2,7/2/2012,warming,perm,warming + slow,spadefoot,16.5,0.549,54,5,0.166666667,0.351851852,46,3.081
2,7/6/2012,warming,perm,warming + slow,spadefoot,17.0,0.427,58,7,0.233333333,0.327586207,45,3.081
2,7/6/2012,warming,perm,warming + slow,spadefoot,18.0,0.636,58,7,0.233333333,0.327586207,45,3.081
2,7/8/2012,warming,perm,warming + slow,spadefoot,19.5,0.644,60,9,0.3,0.316666667,46,3.081
2,7/11/2012,warming,perm,warming + slow,spadefoot,19.0,0.62,63,10,0.333333333,0.301587302,46,3.081
2,7/17/2012,warming,perm,warming + slow,spadefoot,18.0,0.84,69,12,0.4,0.275362319,46,3.081
2,7/17/2012,warming,perm,warming + slow,spadefoot,19.0,0.815,69,12,0.4,0.275362319,46,3.081
2,7/19/2012,warming,perm,warming + slow,spadefoot,19.5,0.865,71,14,0.466666667,0.267605634,45,3.081
2,7/19/2012,warming,perm,warming + slow,spadefoot,17.0,0.6,71,14,0.466666667,0.267605634,45,3.081
2,7/30/2012,warming,perm,warming + slow,spadefoot,16.0,0.489,80,15,0.5,0.2375,46,3.081
3,6/21/2012,warming,perm,warming + slow,treefrog,17.0,0.328,44,2,0.066666667,0.431818182,45,0.0
3,6/21/2012,warming,perm,warming + slow,treefrog,15.5,0.36,44,2,0.066666667,0.431818182,46,0.0
3,6/23/2012,warming,perm,warming + slow,treefrog,15.5,0.342,45,6,0.2,0.422222222,46,0.0
3,6/23/2012,warming,perm,warming + slow,treefrog,14.0,0.239,45,6,0.2,0.422222222,46,0.0
3,6/23/2012,warming,perm,warming + slow,treefrog,15.5,0.294,45,6,0.2,0.422222222,45,0.0
3,6/23/2012,warming,perm,warming + slow,treefrog,16.0,0.307,45,6,0.2,0.422222222,46,0.0
3,6/25/2012,warming,perm,warming + slow,treefrog,16.0,0.309,47,9,0.3,0.404255319,45,0.0
3,6/25/2012,warming,perm,warming + slow,treefrog,15.0,0.304,47,9,0.3,0.404255319,46,0.0
3,6/25/2012,warming,perm,warming + slow,treefrog,14.0,0.308,47,9,0.3,0.404255319,46,0.0
3,6/29/2012,warming,perm,warming + slow,treefrog,16.0,0.343,51,17,0.566666667,0.37254902,46,0.0
3,6/29/2012,warming,perm,warming + slow,treefrog,16.0,0.375,51,17,0.566666667,0.37254902,46,0.0
3,6/29/2012,warming,perm,warming + slow,treefrog,15.0,0.326,51,17,0.566666667,0.37254902,45,0.0
3,6/29/2012,warming,perm,warming + slow,treefrog,15.5,0.343,51,17,0.566666667,0.37254902,46,0.0
3,6/29/2012,warming,perm,warming + slow,treefrog,13.0,0.269,51,17,0.566666667,0.37254902,46,0.0
3,6/29/2012,warming,perm,warming + slow,treefrog,14.0,0.325,51,17,0.566666667,0.37254902,45,0.0
3,6/29/2012,warming,perm,warming + slow,treefrog,15.5,0.323,51,17,0.566666667,0.37254902,46,0.0
3,6/29/2012,warming,perm,warming + slow,treefrog,15.0,0.327,51,17,0.566666667,0.37254902,46,0.0
3,7/2/2012,warming,perm,warming + slow,treefrog,15.0,0.34,54,21,0.7,0.351851852,46,0.0
3,7/2/2012,warming,perm,warming + slow,treefrog,16.0,0.38,54,21,0.7,0.351851852,45,0.0
3,7/2/2012,warming,perm,warming + slow,treefrog,15.5,0.27,54,21,0.7,0.351851852,46,0.0
3,7/2/2012,warming,perm,warming + slow,treefrog,16.0,0.325,54,21,0.7,0.351851852,46,0.0
3,7/4/2012,warming,perm,warming + slow,treefrog,17.0,0.327,56,24,0.8,0.339285714,46,0.0
3,7/4/2012,warming,perm,warming + slow,treefrog,17.0,0.418,56,24,0.8,0.339285714,45,0.0
3,7/4/2012,warming,perm,warming + slow,treefrog,17.0,0.383,56,24,0.8,0.339285714,46,0.0
3,7/5/2012,warming,perm,warming + slow,treefrog,15.5,0.397,57,25,0.833333333,0.333333333,45,0.0
4,7/8/2012,no warming,temp,no warming + fast,treefrog,17.0,0.423,60,1,0.033333333,0.316666667,46,2.0095
4,7/9/2012,no warming,temp,no warming + fast,treefrog,14.0,0.293,61,4,0.133333333,0.31147541,46,2.0095
4,7/9/2012,no warming,temp,no warming + fast,treefrog,14.0,0.329,61,4,0.133333333,0.31147541,45,2.0095
4,7/9/2012,no warming,temp,no warming + fast,treefrog,15.0,0.4,61,4,0.133333333,0.31147541,45,2.0095
4,7/11/2012,no warming,temp,no warming + fast,treefrog,16.0,0.356,63,8,0.266666667,0.301587302,45,2.0095
4,7/11/2012,no warming,temp,no warming + fast,treefrog,18.5,0.368,63,8,0.266666667,0.301587302,46,2.0095
4,7/11/2012,no warming,temp,no warming + fast,treefrog,15.0,0.294,63,8,0.266666667,0.301587302,46,2.0095
4,7/11/2012,no warming,temp,no warming + fast,treefrog,16.0,0.332,63,8,0.266666667,0.301587302,46,2.0095
4,7/13/2012,no warming,temp,no warming + fast,treefrog,15.0,0.3,65,11,0.366666667,0.292307692,45,2.0095
4,7/13/2012,no warming,temp,no warming + fast,treefrog,16.0,0.3,65,11,0.366666667,0.292307692,46,2.0095
4,7/13/2012,no warming,temp,no warming + fast,treefrog,16.0,0.345,65,11,0.366666667,0.292307692,46,2.0095
4,7/16/2012,no warming,temp,no warming + fast,treefrog,16.0,0.34,68,17,0.566666667,0.279411765,46,2.0095
4,7/16/2012,no warming,temp,no warming + fast,treefrog,15.0,0.305,68,17,0.566666667,0.279411765,45,2.0095
4,7/16/2012,no warming,temp,no warming + fast,treefrog,14.0,0.299,68,17,0.566666667,0.279411765,46,2.0095
4,7/16/2012,no warming,temp,no warming + fast,treefrog,16.0,0.335,68,17,0.566666667,0.279411765,46,2.0095
4,7/16/2012,no warming,temp,no warming + fast,treefrog,14.0,0.26,68,17,0.566666667,0.279411765,46,2.0095
4,7/16/2012,no warming,temp,no warming + fast,treefrog,15.0,0.336,68,17,0.566666667,0.279411765,45,2.0095
4,7/17/2012,no warming,temp,no warming + fast,treefrog,15.0,0.31,69,18,0.6,0.275362319,45,2.0095
4,7/19/2012,no warming,temp,no warming + fast,treefrog,16.0,0.255,71,23,0.766666667,0.267605634,46,2.0095
4,7/19/2012,no warming,temp,no warming + fast,treefrog,16.0,0.378,71,23,0.766666667,0.267605634,45,2.0095
4,7/19/2012,no warming,temp,no warming + fast,treefrog,15.5,0.26,71,23,0.766666667,0.267605634,46,2.0095
4,7/19/2012,no warming,temp,no warming + fast,treefrog,17.0,0.37,71,23,0.766666667,0.267605634,46,2.0095
4,7/19/2012,no warming,temp,no warming + fast,treefrog,15.0,0.29,71,23,0.766666667,0.267605634,46,2.0095
4,7/22/2012,no warming,temp,no warming + fast,treefrog,16.5,0.317,74,24,0.8,0.256756757,46,2.0095
4,7/23/2012,no warming,temp,no warming + fast,treefrog,15.0,0.327,75,25,0.833333333,0.253333333,46,2.0095
5,6/27/2012,warming,temp,warming + fast,redlegged,17.0,0.396,49,1,0.033333333,0.387755102,45,0.0
5,6/29/2012,warming,temp,warming + fast,redlegged,16.5,0.588,51,3,0.1,0.37254902,46,0.0
5,6/29/2012,warming,temp,warming + fast,redlegged,17.5,0.44,51,3,0.1,0.37254902,45,0.0
5,7/2/2012,warming,temp,warming + fast,redlegged,15.0,0.269,54,8,0.266666667,0.351851852,46,0.0
5,7/2/2012,warming,temp,warming + fast,redlegged,17.5,0.366,54,8,0.266666667,0.351851852,46,0.0
5,7/2/2012,warming,temp,warming + fast,redlegged,18.0,0.397,54,8,0.266666667,0.351851852,46,0.0
5,7/2/2012,warming,temp,warming + fast,redlegged,16.0,0.333,54,8,0.266666667,0.351851852,46,0.0
5,7/2/2012,warming,temp,warming + fast,redlegged,16.0,0.305,54,8,0.266666667,0.351851852,46,0.0
5,7/4/2012,warming,temp,warming + fast,redlegged,17.0,0.44,56,10,0.333333333,0.339285714,45,0.0
5,7/4/2012,warming,temp,warming + fast,redlegged,16.5,0.353,56,10,0.333333333,0.339285714,46,0.0
