county,radon,log_radon,floor,u_county
1,2.2,0.78845736,1,-0.689047595
1,2.2,0.78845736,0,-0.689047595
1,2.9,1.06471074,0,-0.689047595
1,1,0,0,-0.689047595
2,3.1,1.13140211,0,-0.84731286
2,2.5,0.91629073,0,-0.84731286
2,1.5,0.40546511,0,-0.84731286
2,1,0,0,-0.84731286
2,0.7,-0.35667494,0,-0.84731286
2,1.2,0.18232156,0,-0.84731286
2,1.2,0.18232156,0,-0.84731286
2,1.3,0.26236426,0,-0.84731286
2,1.4,0.33647224,0,-0.84731286
2,0.4,-0.91629073,0,-0.84731286
2,1.1,0.09531018,0,-0.84731286
2,4.5,1.5040774,0,-0.84731286
2,1.3,0.26236426,0,-0.84731286
2,2.1,0.74193734,0,-0.84731286
2,5.9,1.77495235,0,-0.84731286
2,3.3,1.19392247,0,-0.84731286
2,1.8,0.58778666,0,-0.84731286
2,5.4,1.68639895,0,-0.84731286
2,6.3,1.84054963,0,-0.84731286
2,1.9,0.64185389,0,-0.84731286
2,6.6,1.88706965,0,-0.84731286
2,3.1,1.13140211,0,-0.84731286
2,6.8,1.91692261,0,-0.84731286
2,7,1.94591015,0,-0.84731286
2,7.7,2.04122033,0,-0.84731286
2,5.2,1.64865863,0,-0.84731286
2,4.5,1.5040774,0,-0.84731286
2,4.4,1.48160454,0,-0.84731286
2,2.8,1.02961942,0,-0.84731286
2,8.1,2.09186406,0,-0.84731286
2,1.6,0.47000363,0,-0.84731286
2,4.2,1.43508453,0,-0.84731286
2,5.4,1.68639895,0,-0.84731286
2,4,1.38629436,0,-0.84731286
2,2.3,0.83290912,0,-0.84731286
2,2.9,1.06471074,0,-0.84731286
2,1.4,0.33647224,0,-0.84731286
2,3.3,1.19392247,0,-0.84731286
2,2.9,1.06471074,0,-0.84731286
2,1.8,0.58778666,1,-0.84731286
2,0.2,-1.60943791,1,-0.84731286
2,2.4,0.87546874,0,-0.84731286
2,1.1,0.09531018,1,-0.84731286
2,2.2,0.78845736,0,-0.84731286
2,0.6,-0.51082562,0,-0.84731286
2,1.7,0.53062825,0,-0.84731286
2,2.9,1.06471074,0,-0.84731286
2,2.2,0.78845736,0,-0.84731286
2,1.7,0.53062825,0,-0.84731286
2,1.4,0.33647224,0,-0.84731286
2,1.9,0.64185389,0,-0.84731286
2,1.8,0.58778666,0,-0.84731286
3,1.2,0.18232156,1,-0.113458774
3,4.3,1.45861502,0,-0.113458774
3,4.5,1.5040774,1,-0.113458774
4,6.3,1.84054963,0,-0.593352526
4,4.6,1.5260563,0,-0.593352526
4,5.7,1.74046617,0,-0.593352526
4,2.2,0.78845736,1,-0.593352526
4,0.4,-0.91629073,1,-0.593352526
4,4.6,1.5260563,1,-0.593352526
4,4.4,1.48160454,1,-0.593352526
5,6.6,1.88706965,0,-0.142890481
5,2.7,0.99325177,0,-0.142890481
5,2.9,1.06471074,1,-0.142890481
5,2.9,1.06471074,0,-0.142890481
6,7.2,1.97408103,0,0.387056708
6,5,1.60943791,0,0.387056708
6,2.6,0.95551145,0,0.387056708
7,5,1.60943791,0,0.271613664
7,13,2.56494936,0,0.271613664
7,7.2,1.97408103,0,0.271613664
7,6.8,1.91692261,0,0.271613664
7,12.8,2.54944517,0,0.271613664
7,5.8,1.75785792,1,0.271613664
7,9.5,2.2512918,0,0.271613664
7,6,1.79175947,0,0.271613664
7,3.8,1.33500107,0,0.271613664
7,14.3,2.66025954,1,0.271613664
7,1.8,0.58778666,0,0.271613664
7,6.9,1.93152141,0,0.271613664
7,4.7,1.54756251,0,0.271613664
7,9.5,2.2512918,0,0.271613664
8,2.5,0.91629073,1,0.277578705
8,6.7,1.90210753,0,0.277578705
8,4,1.38629436,1,0.277578705
8,10.1,2.31253542,0,0.277578705
9,2.2,0.78845736,0,-0.332315488
9,1.8,0.58778666,0,-0.332315488
9,3.4,1.22377543,0,-0.332315488
9,5.6,1.7227666,1,-0.332315488
9,4.3,1.45861502,0,-0.332315488
9,3.9,1.36097655,0,-0.332315488
9,1.3,0.26236426,0,-0.332315488
9,4.2,1.43508453,0,-0.332315488
9,0.8,-0.22314355,0,-0.332315488
9,2,0.69314718,0,-0.332315488
10,1.6,0.47000363,0,0.095864572
10,12.9,2.55722731,0,0.095864572
10,14.7,2.68784749,1,0.095864572
10,4.7,1.54756251,1,0.095864572
10,9.6,2.2617631,0,0.095864572
10,0,-2.30258509,1,0.095864572
11,3.7,1.30833282,0,-0.608219807
11,7.4,2.00148,0,-0.608219807
11,1.9,0.64185389,0,-0.608219807
11,5.3,1.66770682,0,-0.608219807
11,4,1.38629436,0,-0.608219807
12,7.7,2.04122033,0,0.273684563
12,1.4,0.33647224,0,0.273684563
12,10,2.30258509,0,0.273684563
12,9.4,2.24070969,0,0.273684563
13,0.8,-0.22314355,0,-0.735320087
13,4.4,1.48160454,0,-0.735320087
13,5,1.60943791,0,-0.735320087
13,2.1,0.74193734,0,-0.735320087
13,1.7,0.53062825,0,-0.735320087
13,8.1,2.09186406,0,-0.735320087
14,0.9,-0.10536052,1,0.343781175
14,12.9,2.55722731,0,0.343781175
14,2.6,0.95551145,0,0.343781175
14,3.5,1.25276297,1,0.343781175
14,26.6,3.28091122,0,0.343781175
14,1.5,0.40546511,0,0.343781175
14,13,2.56494936,0,0.343781175
14,8.8,2.17475172,0,0.343781175
14,19.5,2.97041447,0,0.343781175
14,2.5,0.91629073,1,0.343781175
14,9,2.19722458,0,0.343781175
14,13.1,2.57261223,0,0.343781175
14,3.6,1.28093385,0,0.343781175
14,6.9,1.93152141,1,0.343781175
15,4.8,1.56861592,1,-0.059860414
15,3.4,1.22377543,0,-0.059860414
15,0.9,-0.10536052,1,-0.059860414
15,3.4,1.22377543,0,-0.059860414
16,2.7,0.99325177,0,-0.504995983
16,1.4,0.33647224,0,-0.504995983
17,6.8,1.91692261,0,0.339560321
17,11.1,2.40694511,1,0.339560321
17,0,-2.30258509,1,0.339560321
17,2.5,0.91629073,1,0.339560321
18,1.8,0.58778666,0,-0.6333907
18,1.6,0.47000363,0,-0.6333907
18,1,0,1,-0.6333907
18,0.9,-0.10536052,0,-0.6333907
18,2.9,1.06471074,0,-0.6333907
18,4.4,1.48160454,0,-0.6333907
18,1.5,0.40546511,0,-0.6333907
18,4.1,1.41098697,0,-0.6333907
18,2.5,0.91629073,1,-0.6333907
18,6.7,1.90210753,1,-0.6333907
18,4.3,1.45861502,0,-0.6333907
18,5.5,1.70474809,0,-0.6333907
19,3.6,1.28093385,0,-0.024145162
19,2.8,1.02961942,0,-0.024145162
19,14.6,2.68102153,0,-0.024145162
19,6.7,1.90210753,0,-0.024145162
19,8,2.07944154,0,-0.024145162
19,2.6,0.95551145,0,-0.024145162
19,2.8,1.02961942,1,-0.024145162
19,4.4,1.48160454,0,-0.024145162
19,1.7,0.53062825,1,-0.024145162
19,2,0.69314718,0,-0.024145162
19,2,0.69314718,0,-0.024145162
19,1.5,0.40546511,0,-0.024145162
19,9.6,2.2617631,0,-0.024145162
19,8.1,2.09186406,0,-0.024145162
19,3.5,1.25276297,0,-0.024145162
19,0.8,-0.22314355,1,-0.024145162
19,5.1,1.62924054,0,-0.024145162
19,3.2,1.16315081,0,-0.024145162
19,10.8,2.37954613,0,-0.024145162
19,8.2,2.10413415,0,-0.024145162
19,6.3,1.84054963,0,-0.024145162
19,4.8,1.56861592,0,-0.024145162
19,6,1.79175947,0,-0.024145162
19,1.1,0.09531018,0,-0.024145162
19,8.7,2.16332303,0,-0.024145162
19,8.8,2.17475172,0,-0.024145162
19,6.8,1.91692261,0,-0.024145162
19,2.3,0.83290912,0,-0.024145162
19,1.6,0.47000363,0,-0.024145162
19,2.8,1.02961942,0,-0.024145162
19,6.5,1.87180218,0,-0.024145162
19,1.7,0.53062825,0,-0.024145162
19,4.6,1.5260563,0,-0.024145162
19,3.3,1.19392247,0,-0.024145162
19,4.4,1.48160454,0,-0.024145162
19,21.2,3.05400118,0,-0.024145162
19,9.1,2.20827441,0,-0.024145162
19,0.9,-0.10536052,0,-0.024145162
19,4.9,1.58923521,0,-0.024145162
19,5,1.60943791,0,-0.024145162
19,1.1,0.09531018,0,-0.024145162
19,7.6,2.02814825,0,-0.024145162
19,5.4,1.68639895,0,-0.024145162
19,3.6,1.28093385,0,-0.024145162
19,4.9,1.58923521,0,-0.024145162
